cityname,climate_zone,city_area_km2,UGS_area_km2,WMEE,IMEE,CE,MPA,FRAC,SHAPE,MCH,PRE,TMP,WS,NTL
Anshan,Cold,191.0,24.789715,13,2.80205714,0.036502619,0.074447396,1.211171073,1.650052857,3.765211202,662.3150894,24.33129039,1.149319666,19.33753759
Anyang,Arid,209.0,8.963956,4,1.535369841,0.06195846,0.041709541,1.18201508,1.5149672,3.188207146,550.736661,27.36646153,1.051137479,17.12477149
Baoji,Temperate,155.0,20.163855,7,2.60685928,0.081591923,0.038771097,1.186876205,1.503720389,3.045582785,847.3828954,25.17279872,1.388312382,14.4119184
Baotou,Arid,235.0,23.926823,6,2.700791341,0.084181888,0.032342016,1.198430859,1.546906109,2.914058442,317.0010662,22.66502419,1.393107877,21.57266566
Beijing,Arid,2179.0,432.537187,8,2.003291676,0.062768716,0.11798142,1.201939912,1.658326512,4.165415241,446.4750597,26.57731427,1.023467203,25.18462116
Cangzhou,Cold,152.0,11.146338,5,1.767236487,0.12106182,0.03971237,1.191055933,1.548826183,2.358692778,466.9588616,27.36715399,1.028100081,13.11541303
Changchun,Cold,411.0,56.931854,12,2.337919976,0.019355977,0.073980157,1.207956714,1.657691081,3.385516362,680.8468608,22.13343632,1.037929844,43.76486784
Changsha,Temperate,423.0,57.729276,6,2.049141168,0.094963378,0.099623177,1.166397785,1.492204823,3.718391422,1278.748571,28.67438206,1.402486503,29.43437279
Changshu,Temperate,187.0,13.933357,7,2.340372077,0.028532225,0.042774592,1.184566184,1.548696504,2.557397495,1046.660642,26.79728751,1.243460189,18.32700003
Changzhou,Temperate,613.0,58.514455,13,2.615769839,-0.01363761,0.040294423,1.183301006,1.545761173,2.865402373,1050.190009,27.4564841,1.173535757,20.20007606
Chengdu,Temperate,867.0,104.505637,9,1.720156478,0.047820855,0.080816466,1.170822684,1.551497374,3.400133311,1064.221108,25.9054863,1.383910631,32.46147743
Chongqing,Temperate,653.0,80.837199,6,2.568473905,0.118268279,0.153367458,1.16274998,1.554458031,4.838441706,1300.519003,27.38530783,1.406630371,23.41432046
Cixi,Temperate,339.0,23.893865,7,4.030364033,0.039897609,0.022565859,1.193338138,1.46941889,2.415041208,1342.756262,27.45127106,1.02171699,17.66009044
Dalian,Cold,516.0,53.019193,6,2.589041698,0.116487633,0.073996174,1.19255999,1.558076237,3.026836585,553.0268594,24.06451774,1.255469462,24.91969876
Datong,Arid,223.0,14.570231,7,2.021711986,0.061190651,0.0293959,1.197730852,1.542086392,2.408985521,382.5887703,21.5465152,1.691179224,27.40146073
Dengzhou,Temperate,302.0,18.305292,4,1.268754868,0.037667037,0.060574921,1.168318044,1.532925855,2.917238758,779.6321814,27.34693091,1.062899941,3.854998322
Dongying,Cold,187.0,2.747112,8,2.151506236,0.026470997,0.01550141,1.164555284,1.405035422,1.507695385,563.9406633,27.14102724,1.174836905,15.76292859
Fushan,Cold,233.0,18.179796,0,1.762892703,0.128462866,0.065129043,1.182071563,1.522074093,2.456672126,581.487817,24.54439428,0.82213546,18.49737846
Fuyang,Temperate,199.0,15.411614,7,1.81046044,0.017188427,0.044363,1.170826641,1.507077205,2.129870006,704.5799739,27.95357892,1.08002798,20.12671784
Fuzhou,Temperate,256.0,35.31286,2,2.690567938,0.129155519,0.068038093,1.166587366,1.495714772,3.87970872,1496.620187,28.4192641,1.356977228,32.27967957
Gaomi,Cold,159.0,17.156541,6,3.179745358,0.069577518,0.069312448,1.178046753,1.576193245,3.237862637,616.7311088,25.86362817,1.261529285,5.824951431
Guilin,Temperate,167.0,27.006421,7,3.502934304,0.117894643,0.090483256,1.157974827,1.476387304,3.62495255,1757.864399,28.25012817,0.952158523,16.2460233
Guiyang,Temperate,298.0,42.576844,7,2.521632254,0.094524327,0.117305784,1.158047963,1.437049754,4.572987794,1174.857524,23.69118052,1.171180466,23.56818413
Handan,Arid,251.0,26.53391,7,1.797043084,0.05461258,0.034158963,1.190217721,1.521368074,2.946609822,567.9215998,27.37702647,0.91789088,13.33815788
Hangzhou,Temperate,1517.0,153.181868,3,2.099844871,0.078168689,0.057387648,1.176923147,1.493313673,3.18632569,1407.653099,27.65785863,1.144768532,22.82144859
Harbin,Cold,471.0,50.504586,14,2.410596937,-0.006417691,0.087951251,1.210318031,1.701460315,3.41622,707.226862,21.64011899,1.175616934,29.58957545
Hefei,Temperate,606.0,58.786139,12,2.250711764,0.018899362,0.06442563,1.177528991,1.531010324,2.299409471,937.0603189,27.9836746,1.118154445,30.71730223
