"climate_zone","target","term","vip","beta_std","direction","contribution_pct"
"Arid","IMEE","NTL",1.39483030645506,-1.07527495348221,"-",23.9389895227133
"Arid","IMEE","MCH",1.04529146805049,0.00186164767514965,"+",0.0414461101749527
"Arid","IMEE","FRAC",0.996632447832089,-1.01442160256834,"-",22.5842032652714
"Arid","IMEE","TMP",0.962079971626191,-1.06021094239332,"-",23.6036174372208
"Arid","IMEE","PRE",0.943499586072256,0.111206295723456,"+",2.47580057506436
"Arid","IMEE","WS",0.82372148871065,0.100387011402545,"+",2.23492940703168
"Arid","IMEE","SHAPE",0.68864467997442,1.12836829613349,"+",25.1210136825235
"Arid","WMEE","PRE",1.39072327758458,0.862241034815378,"+",31.1622970874828
"Arid","WMEE","WS",1.11677819800397,0.593288329881285,"+",21.4420637011967
"Arid","WMEE","TMP",1.11140745886653,0.387124430784574,"+",13.9910837397279
"Arid","WMEE","MCH",0.926399952303744,-0.0432435625887617,"-",1.56286779461927
"Arid","WMEE","SHAPE",0.879098130589291,0.686821659576919,"+",24.8224565262504
"Arid","WMEE","FRAC",0.690482550694996,-0.033739055557233,"-",1.21936492265264
"Arid","WMEE","NTL",0.689689882755282,-0.160478627241211,"-",5.79986622807023
"Cold","IMEE","WS",1.55385388962859,0.514837787584468,"+",33.8081357435042
"Cold","IMEE","NTL",1.01413771218255,-0.314915955801399,"-",20.6797590197908
"Cold","IMEE","SHAPE",0.978447121710818,0.167935155472437,"+",11.0278900835093
"Cold","IMEE","MCH",0.881841310035011,0.18213970263091,"+",11.9606678828271
"Cold","IMEE","TMP",0.86371936162714,-0.157833480178189,"-",10.3645378241752
"Cold","IMEE","PRE",0.751208554627524,0.158914511335865,"+",10.4355264909029
"Cold","IMEE","FRAC",0.715356202287815,-0.0262455806014623,"-",1.72348295529053
"Cold","WMEE","SHAPE",1.28907346489821,0.137412471434624,"+",19.4634024763896
"Cold","WMEE","MCH",1.28588704731263,0.137072806142164,"+",19.4152915427502
"Cold","WMEE","TMP",1.14093961414527,-0.121621720100915,"-",17.2267659804164
"Cold","WMEE","FRAC",1.05497675779603,0.112458263661712,"+",15.9288340031436
"Cold","WMEE","PRE",0.89038240766346,0.0949128583362843,"+",13.4436644847229
"Cold","WMEE","NTL",0.56678168722423,0.0604177143709319,"+",8.55769697777733
"Cold","WMEE","WS",0.395022313526522,0.042108532873872,"+",5.96434453479995
"Temperate","IMEE","PRE",1.6847864580176,0.612717181387962,"+",41.9372641009568
"Temperate","IMEE","FRAC",1.07369282035736,0.249490926140933,"+",17.076339913732
"Temperate","IMEE","MCH",0.86718899909564,0.130523600259868,"+",8.93365301607218
"Temperate","IMEE","TMP",0.851983959517004,-0.00708685498532216,"-",0.485057899782402
"Temperate","IMEE","SHAPE",0.834780086713745,-0.161736770036293,"-",11.0700300985243
"Temperate","IMEE","NTL",0.790558762015633,-0.25860968853682,"-",17.7004711744287
"Temperate","IMEE","WS",0.457103863025992,-0.0408677725731433,"-",2.79718379650358
"Temperate","WMEE","SHAPE",1.73324001164786,0.543289692809153,"+",32.6583905505984
"Temperate","WMEE","PRE",1.12724834706467,0.527563097890402,"+",31.7130288297973
"Temperate","WMEE","FRAC",1.04291769294941,-0.0101723371729337,"-",0.611482537959242
"Temperate","WMEE","NTL",0.745809354799808,-0.058248977364571,"-",3.50147973930618
"Temperate","WMEE","MCH",0.720029466643534,-0.20635466358765,"-",12.404452513238
"Temperate","WMEE","TMP",0.623031210078198,-0.21920836783253,"-",13.1771181809422
"Temperate","WMEE","WS",0.417936593902231,-0.0987160380389252,"-",5.93404764815859
