"from","to","coefficient","perc.025","perc.975","significant"
"MPA","WMEE",-0.0735681330197632,-0.260529752656078,0.110742564061385,FALSE
"MPA","IMEE",0.0375707062352879,-0.119171792379769,0.229979663432614,FALSE
"MPA","CE",0.143256553128046,0.0270407298677638,0.272064251134488,TRUE
"Fragmentation","WMEE",0.587201935692134,0.347350445173747,0.789938453231811,TRUE
"Fragmentation","IMEE",0.218901883628518,0.0231579417642044,0.375443681950713,TRUE
"Fragmentation","CE",-0.0372807020003344,-0.206896955796133,0.105623718376616,FALSE
"Precipitation","WMEE",0.46138935281016,0.212889465324983,0.715296339346632,TRUE
"Precipitation","IMEE",0.59384306207456,0.355298843638539,0.812471119320511,TRUE
"Precipitation","CE",-0.250797036698347,-0.487734557597746,-0.0194645237611133,TRUE
"NTL","WMEE",-0.043412091266723,-0.245566039860039,0.171719000584381,FALSE
"NTL","IMEE",-0.334300637547784,-0.514269930388798,-0.125132510192803,TRUE
"NTL","CE",0.0662140199466645,-0.0744406654848993,0.213396688530845,FALSE
"WMEE","CE",-0.713822996678702,-0.836413379400459,-0.589617006411979,TRUE
"IMEE","CE",0.242601311332087,0.0801240675465919,0.398284585390541,TRUE
